,Artist,Track,Album,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Licensed,Path
3914,Keyshia Cole,Let It Go,Just Like You,0.806,0.721,10.0,-5.167,0.215,0.197,0.0,0.209,0.781,94.967,238333.0,https://www.youtube.com/watch?v=Hybj2Gfk6G8,True,data/70_mp3/mp3/3914.mp3
1332,Lata Mangeshkar,Pyar Kar,Dil To Pagal Hai,0.629,0.523,7.0,-11.134,0.0362,0.519,0.000502,0.416,0.645,88.077,405029.0,https://www.youtube.com/watch?v=tvxXAZo1Hlg,True,data/70_mp3/mp3/1332.mp3
7575,Pixies,Hey,Doolittle,0.59,0.372,7.0,-12.37,0.0318,0.00105,0.00929,0.316,0.306,99.887,210907.0,https://www.youtube.com/watch?v=PIkWJZf33UY,False,data/70_mp3/mp3/7575.mp3
17483,Karan Aujla,Ykwim,Ykwim,0.837,0.575,5.0,-7.971,0.127,0.0361,7.23e-06,0.457,0.655,105.015,194857.0,https://www.youtube.com/watch?v=rHMZleMG628,True,data/70_mp3/mp3/17483.mp3
7350,Miguel,Adorn,Kaleidoscope Dream,0.625,0.576,11.0,-5.693,0.175,0.0543,4.07e-05,0.187,0.235,179.063,193147.0,https://www.youtube.com/watch?v=8dM5QYdTo08,True,data/70_mp3/mp3/7350.mp3
2226,Sezen Aksu,Şanıma İnanma,Bahane,0.713,0.792,5.0,-6.217,0.0591,0.287,2.8e-06,0.123,0.866,95.992,235773.0,https://www.youtube.com/watch?v=PAavIWxlvUo,True,data/70_mp3/mp3/2226.mp3
18880,Mainstreet,Saturno,Saturno,0.694,0.551,5.0,-5.929,0.0485,0.704,0.0,0.1,0.908,95.003,186947.0,https://www.youtube.com/watch?v=VF97zz_5oCc,True,data/70_mp3/mp3/18880.mp3
15134,alt-J,Every Other Freckle,This Is All Yours,0.543,0.707,2.0,-7.636,0.07,0.614,0.0414,0.118,0.515,143.915,216004.0,https://www.youtube.com/watch?v=axTSc3e6wu8,False,data/70_mp3/mp3/15134.mp3
3782,Don Diablo,Hot Air Balloon,FORΞVΞR (DΞLUXΞ ΞDITION),0.815,0.71,6.0,-6.353,0.0469,0.129,0.528,0.113,0.572,122.967,173659.0,https://www.youtube.com/watch?v=iqJKohK2f8g,False,data/70_mp3/mp3/3782.mp3
6433,James Brown,Try Me,"Please, Please, Please",0.676,0.224,0.0,-15.193,0.0293,0.931,0.0,0.302,0.665,101.47,153707.0,https://www.youtube.com/watch?v=6HYpxd4KRSM,True,data/70_mp3/mp3/6433.mp3
5435,Mase,Keep It On,Welcome Back,0.753,0.717,1.0,-4.978,0.155,0.0111,0.00117,0.205,0.645,191.811,213973.0,https://www.youtube.com/watch?v=EMaw59BeeZw,False,data/70_mp3/mp3/5435.mp3
7396,Kelly Clarkson,Stronger (What Doesn't Kill You),Stronger (Deluxe Version),0.562,0.939,0.0,-4.282,0.0475,0.046,0.0,0.112,0.684,116.044,221947.0,https://www.youtube.com/watch?v=Xn676-fLq7I,True,data/70_mp3/mp3/7396.mp3
16549,Vishal Mishra,Jaan Ban Gaye,"Jaan Ban Gaye (From ""Khuda Haafiz"")",0.537,0.419,11.0,-11.585,0.0414,0.76,1.07e-05,0.107,0.292,132.261,211674.0,https://www.youtube.com/watch?v=a6cJAFFQn_I,True,data/70_mp3/mp3/16549.mp3
287,Tiësto,Baila Conmigo,Baila Conmigo,0.652,0.855,7.0,-6.411,0.0775,0.00658,0.409,0.341,0.0834,127.964,146250.0,https://www.youtube.com/watch?v=SD4lP13cPfE,True,data/70_mp3/mp3/287.mp3
1809,TKKG,225 - Tanz mit der Giftschlange - Teil 02,Folge 225: Tanz mit der Giftschlange,0.706,0.503,10.0,-11.927,0.923,0.678,0.0,0.805,0.574,131.225,180147.0,https://www.youtube.com/watch?v=k-XfcGXbHOA,False,data/70_mp3/mp3/1809.mp3
15368,Bryson Tiller,Blame,Blame,0.729,0.38,11.0,-8.558,0.099,0.0319,5.01e-05,0.119,0.323,114.975,127029.0,https://www.youtube.com/watch?v=nH4VjNMxGRM,False,data/70_mp3/mp3/15368.mp3
10478,Flo Rida,Whistle,Wild Ones,0.747,0.937,0.0,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,224653.0,https://www.youtube.com/watch?v=cSnkWzZ7ZAA,True,data/70_mp3/mp3/10478.mp3
10971,De La Ghetto,Sensacion Del Bloque,Reggaeton Rulers: Los Que Ponen,0.709,0.726,7.0,-7.129,0.0411,0.0977,0.0,0.301,0.404,92.006,182187.0,https://www.youtube.com/watch?v=TVH9YaQpqAI,False,data/70_mp3/mp3/10971.mp3
3301,Chuck Berry,Rock And Roll Music,One Dozen Berry's,0.529,0.768,8.0,-6.201,0.0446,0.418,0.000947,0.0655,0.871,165.225,151773.0,https://www.youtube.com/watch?v=6U4x9mQ5K0s,False,data/70_mp3/mp3/3301.mp3
5576,Billy Ray Cyrus,Old Town Road - Remix,Old Town Road (Remix),0.891,0.503,6.0,-5.777,0.226,0.0576,0.0,0.0763,0.674,136.009,171293.0,https://www.youtube.com/watch?v=w2Ov5jzm3j8,True,data/70_mp3/mp3/5576.mp3
6639,Warren G,What's Love Got To Do With It,Hip Hop Forever,0.887,0.547,1.0,-9.474,0.264,0.205,0.0,0.176,0.593,96.847,255040.0,https://www.youtube.com/watch?v=I7dSVg00Rsg,False,data/70_mp3/mp3/6639.mp3
17362,Shiva,Compliquè (feat. Shiva & Ghali),PROVINCIALE,0.863,0.612,1.0,-8.357,0.282,0.384,0.0,0.144,0.341,118.975,197647.0,https://www.youtube.com/watch?v=mR-v4nXHxww,False,data/70_mp3/mp3/17362.mp3
14319,Mabel Matiz,Aşk Yok Olmaktır,Yaşım Çocuk,0.602,0.576,9.0,-7.824,0.0647,0.246,0.0,0.275,0.498,80.176,223530.0,https://www.youtube.com/watch?v=dwUEy1nFUvU,True,data/70_mp3/mp3/14319.mp3
1714,Shania Twain,You're Still The One,Come On Over,0.585,0.494,3.0,-8.751,0.0353,0.363,0.0,0.0886,0.634,133.822,212200.0,https://www.youtube.com/watch?v=KNZH-emehxA,True,data/70_mp3/mp3/1714.mp3
644,Juanes,Para Tu Amor,Mi Sangre,0.602,0.506,8.0,-7.578,0.024,0.425,0.0,0.125,0.531,95.006,249000.0,https://www.youtube.com/watch?v=yWkQbrfSvfs,True,data/70_mp3/mp3/644.mp3
2014,Patrick Watson,Ode to Vivian - Rework,Ode to Vivian (Rework),0.451,0.023,0.0,-29.372,0.0364,0.973,0.915,0.104,0.226,132.813,96625.0,https://www.youtube.com/watch?v=lcuMwAt3MjI,True,data/70_mp3/mp3/2014.mp3
12413,Kid Cudi,Pursuit Of Happiness (Nightmare),Man On The Moon: The End Of Day (Deluxe),0.63,0.605,0.0,-8.951,0.0414,0.484,9.29e-05,0.298,0.266,115.277,295293.0,https://www.youtube.com/watch?v=7xzU9Qqdqww,True,data/70_mp3/mp3/12413.mp3
8453,Lang Lang,The Departure,Voyager - Essential Max Richter,0.0,0.0362,0.0,-22.519,0.0,0.994,0.94,0.0958,0.0,0.0,151507.0,https://www.youtube.com/watch?v=2Yq46W11Rng,True,data/70_mp3/mp3/8453.mp3
9910,Evanescence,Sweet Sacrifice,The Open Door,0.486,0.87,2.0,-4.947,0.0903,0.00679,3.15e-06,0.312,0.336,97.013,185533.0,https://www.youtube.com/watch?v=XBYhQnjyrWo,True,data/70_mp3/mp3/9910.mp3
16832,6LACK,FOREVER (with 6LACK),YESSIE,0.815,0.606,2.0,-4.496,0.0586,0.543,2.03e-05,0.114,0.484,114.009,223160.0,https://www.youtube.com/watch?v=Q_75_2fWFhY,True,data/70_mp3/mp3/16832.mp3
17053,Tom Grennan,Let’s Go Home Together,Everything I Didn’t Say,0.661,0.486,5.0,-4.438,0.0431,0.454,0.0,0.0994,0.309,78.31,208692.0,https://www.youtube.com/watch?v=8g_cDtjM0aY,True,data/70_mp3/mp3/17053.mp3
14406,Nekfeu,Nek O,SZR 2001,0.637,0.568,9.0,-7.546,0.424,0.206,0.0,0.173,0.529,115.992,169573.0,https://www.youtube.com/watch?v=96RyFXkPxvg,True,data/70_mp3/mp3/14406.mp3
1292,Joan Sebastian,Sentimental,Afortunado,0.719,0.46,8.0,-5.827,0.0332,0.891,7.81e-05,0.081,0.881,108.479,167515.0,https://www.youtube.com/watch?v=jblhAJWrTuQ,False,data/70_mp3/mp3/1292.mp3
7438,The Police,Every Little Thing She Does Is Magic,Ghost In The Machine (Remastered 2003),0.558,0.768,2.0,-9.997,0.0343,0.121,0.0626,0.124,0.429,81.909,260573.0,https://www.youtube.com/watch?v=aENX1Sf3fgQ,True,data/70_mp3/mp3/7438.mp3
11102,RADWIMPS,Dream lantern,Your Name.,0.206,0.871,8.0,-5.751,0.419,0.0316,6.55e-05,0.0596,0.125,175.6,131667.0,https://www.youtube.com/watch?v=lFsg_sDwlak,False,data/70_mp3/mp3/11102.mp3
8402,Los Amables Del Norte,Recordando Al Compa Chalino,Recordando Al Compa,0.577,0.591,9.0,-6.699,0.138,0.388,1.17e-06,0.0821,0.794,173.868,221309.0,https://www.youtube.com/watch?v=2xSzOIy9-Fw,True,data/70_mp3/mp3/8402.mp3
8234,Aphex Twin,Ageispolis,Selected Ambient Works 85-92,0.645,0.393,6.0,-17.543,0.043,0.00903,0.89,0.364,0.441,101.757,323187.0,https://www.youtube.com/watch?v=RsZPmcWTajs,False,data/70_mp3/mp3/8234.mp3
16019,League of Legends,Fire To The Fuse,Fire To The Fuse,0.477,0.721,1.0,-5.458,0.0691,0.0388,1.05e-06,0.0638,0.231,173.92,226207.0,https://www.youtube.com/watch?v=oNkT_aZWySA,True,data/70_mp3/mp3/16019.mp3
4173,Will Smith,"Men In Black - From ""Men In Black"" Soundtrack",Big Willie Style,0.801,0.581,5.0,-8.491,0.0681,0.0968,0.000318,0.0971,0.656,107.545,227267.0,https://www.youtube.com/watch?v=fiBLgEx6svA,True,data/70_mp3/mp3/4173.mp3
10872,Marcela Gandara,Pensaba En Ti,El Mismo Cielo,0.547,0.541,3.0,-6.139,0.0262,0.413,0.0,0.131,0.228,139.97,218827.0,https://www.youtube.com/watch?v=vASvc239yR4,False,data/70_mp3/mp3/10872.mp3
16178,Kane Brown,Famous Friends,Famous Friends,0.535,0.859,6.0,-2.922,0.0344,0.0528,0.0,0.32,0.698,102.008,166507.0,https://www.youtube.com/watch?v=qpMOx2Ul9RA,True,data/70_mp3/mp3/16178.mp3
706,Alejandro Sanz,Amiga mía,Más,0.629,0.703,2.0,-4.875,0.0504,0.519,0.0,0.11,0.402,144.016,290973.0,https://www.youtube.com/watch?v=44Qh0p9xE6o,True,data/70_mp3/mp3/706.mp3
6104,Alexandre Desplat,Harry and Ginny,"Harry Potter and the Deathly Hallows, Pt. 1 (Original Motion Picture Soundtrack)",0.151,0.014,2.0,-33.439,0.0426,0.98,0.947,0.0935,0.0386,66.96,103853.0,https://www.youtube.com/watch?v=VUS5-MQmCsA,True,data/70_mp3/mp3/6104.mp3
35,Coldplay,Sparks,Parachutes,0.371,0.268,1.0,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,227093.0,https://www.youtube.com/watch?v=1aokooixKIo,True,data/70_mp3/mp3/35.mp3
2061,Hombres G,Visite nuestro bar,La Cagaste... Burt Lancaster,0.67,0.922,5.0,-4.496,0.0779,0.138,0.00643,0.0544,0.964,77.677,201360.0,https://www.youtube.com/watch?v=8FuXcgWy97Y,False,data/70_mp3/mp3/2061.mp3
966,Korn,Word Up!,Word Up! (The Remixes),0.577,0.94,6.0,-4.439,0.0361,2.42e-05,0.0715,0.347,0.818,116.045,172667.0,https://www.youtube.com/watch?v=-M7vOnlcLbo,True,data/70_mp3/mp3/966.mp3
2996,Project Pat,If You Ain't From My Hood (feat. Juicy J & DJ Paul),Mista Don't Play: Everythangs Workin,0.916,0.866,2.0,-4.628,0.257,0.128,0.0,0.0552,0.532,146.387,296333.0,https://www.youtube.com/watch?v=LQXGlrkWGlA,False,data/70_mp3/mp3/2996.mp3
1416,John Lennon,Jealous Guy - Remastered 2010,Imagine,0.489,0.389,4.0,-11.653,0.0284,0.877,0.32,0.105,0.254,131.366,257787.0,https://www.youtube.com/watch?v=wADRRYNHhOA,True,data/70_mp3/mp3/1416.mp3
15034,G Herbo,Cry No More,25,0.74,0.611,7.0,-7.312,0.155,0.227,0.0,0.0991,0.534,129.947,221816.0,https://www.youtube.com/watch?v=ad2LyoYLiSY,False,data/70_mp3/mp3/15034.mp3
3072,Raekwon,"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)",Only Built 4 Cuban Linx...,0.683,0.902,1.0,-7.389,0.291,0.219,0.000761,0.226,0.724,90.447,253227.0,https://www.youtube.com/watch?v=jgh10of6DKA,True,data/70_mp3/mp3/3072.mp3
8789,My Chemical Romance,Cancer,The Black Parade,0.457,0.515,4.0,-4.31,0.0261,0.358,0.0,0.278,0.222,74.984,142973.0,https://www.youtube.com/watch?v=RfitcRQbzs0,False,data/70_mp3/mp3/8789.mp3
10960,Arcángel,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),0.815,0.514,6.0,-9.446,0.361,0.54,0.0,0.611,0.623,120.054,264000.0,https://www.youtube.com/watch?v=CUYrEiymUMY,True,data/70_mp3/mp3/10960.mp3
4633,Jorge Drexler,La edad del cielo,Frontera,0.668,0.261,7.0,-13.003,0.0405,0.588,0.000391,0.116,0.282,147.446,219493.0,https://www.youtube.com/watch?v=oZd_spRPUEM,True,data/70_mp3/mp3/4633.mp3
4019,Zezé Di Camargo & Luciano,Pra Mudar a Minha Vida,Zezé Di Camargo e Luciano - 20 Anos de Carreira,0.654,0.792,4.0,-3.445,0.03,0.379,0.0,0.254,0.878,150.104,228493.0,https://www.youtube.com/watch?v=zokWWAW81fg,True,data/70_mp3/mp3/4019.mp3
2999,Royal Philharmonic Orchestra,Love Me Tender - with The Royal Philharmonic Orchestra,If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra,0.239,0.149,9.0,-13.131,0.0326,0.89,0.0271,0.116,0.105,103.667,205227.0,https://www.youtube.com/watch?v=NAMpsFBluaI,True,data/70_mp3/mp3/2999.mp3
15663,Jaymes Young,Infinity,Feel Something,0.671,0.673,11.0,-6.941,0.0444,0.148,5.29e-05,0.304,0.494,121.963,237720.0,https://www.youtube.com/watch?v=RY607kB2QiU,True,data/70_mp3/mp3/15663.mp3
3068,Ciara,Can't Leave 'Em Alone (feat. 50 Cent),The Evolution,0.527,0.696,1.0,-6.015,0.361,0.209,0.0,0.0516,0.499,100.614,244760.0,https://www.youtube.com/watch?v=EnL9Ju7oSvU,True,data/70_mp3/mp3/3068.mp3
13031,Chief Keef,ROCK OUT (feat. Chief Keef),MANSION MUSIK,0.672,0.725,5.0,-4.41,0.2,0.00123,0.0,0.446,0.213,140.013,126857.0,https://www.youtube.com/watch?v=eBD0eph0Kxg,False,data/70_mp3/mp3/13031.mp3
17503,bbno$,pogo,pogo,0.729,0.973,4.0,-2.761,0.0759,0.0424,0.205,0.333,0.687,124.957,207360.0,https://www.youtube.com/watch?v=bV7r1AFVRTI,True,data/70_mp3/mp3/17503.mp3
3579,Emmanuel,Este Terco Corazon,Diez Años Cantandole Al Amor,0.584,0.501,7.0,-12.988,0.054,0.184,0.0,0.574,0.902,152.733,222933.0,https://www.youtube.com/watch?v=DGvqbsccoAs,True,data/70_mp3/mp3/3579.mp3
18853,Standly,Marisola,Marisola,0.806,0.85,1.0,-4.84,0.0967,0.155,0.0,0.201,0.728,95.014,184421.0,https://www.youtube.com/watch?v=XC-9f5qxxpo,False,data/70_mp3/mp3/18853.mp3
18195,MC Ryan SP,Revoada do Tubarão 3,Revoada do Tubarão 3,0.795,0.705,4.0,-4.041,0.0606,0.252,1.88e-06,0.248,0.571,95.023,669158.0,https://www.youtube.com/watch?v=DeVsfHet-uA,True,data/70_mp3/mp3/18195.mp3
13488,MC Hariel,Invencível,Invencível,0.554,0.66,5.0,-5.677,0.2,0.416,0.0,0.372,0.632,91.434,212459.0,https://www.youtube.com/watch?v=dhWqk9A0hik,True,data/70_mp3/mp3/13488.mp3
72,Radiohead,Nude,In Rainbows,0.516,0.342,4.0,-9.785,0.0342,0.832,0.579,0.0857,0.167,128.378,255387.0,https://www.youtube.com/watch?v=BbWBRnDK_AE,True,data/70_mp3/mp3/72.mp3
4457,The Chicks,Travelin' Soldier,Home,0.569,0.365,9.0,-7.047,0.0265,0.691,0.0,0.17,0.508,145.859,343497.0,https://www.youtube.com/watch?v=AbfgxznPmZM,True,data/70_mp3/mp3/4457.mp3
134,Khalid,Numb,Numb,0.912,0.774,0.0,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,155589.0,https://www.youtube.com/watch?v=mRXKnG2eugU,True,data/70_mp3/mp3/134.mp3
12763,K.Flay,High Enough,Every Where Is Some Where,0.606,0.62,0.0,-5.005,0.0298,0.0301,0.0916,0.167,0.543,88.984,231600.0,https://www.youtube.com/watch?v=j04JKdcXjkU,True,data/70_mp3/mp3/12763.mp3
